Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,464530,445627,18903,846246,13886,386420,9956,2477,0.959307,0.969802,0.456628,0.964526,,,1.51126976327,1.60250613173
INDEL,PASS,464530,445627,18903,846246,13886,386420,9956,2477,0.959307,0.969802,0.456628,0.964526,,,1.51126976327,1.60250613173
SNP,ALL,3047838,3046571,1267,3789823,2435,738766,468,237,0.999584,0.999202,0.194934,0.999393,2.09862625215,2.02004418148,1.58898633084,1.57800866755
SNP,PASS,3047838,3046571,1267,3789823,2435,738766,468,237,0.999584,0.999202,0.194934,0.999393,2.09862625215,2.02004418148,1.58898633084,1.57800866755
