Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,464530,451112,13418,860208,9822,399082,7002,2130,0.971115,0.9787,0.463937,0.974893,,,1.51126976327,1.62044057152
INDEL,PASS,464530,451112,13418,860208,9822,399082,7002,2130,0.971115,0.9787,0.463937,0.974893,,,1.51126976327,1.62044057152
SNP,ALL,3047838,3046710,1128,3796753,2684,745245,411,227,0.99963,0.99912,0.196285,0.999375,2.09862625215,2.01985771842,1.58898633084,1.57647752909
SNP,PASS,3047838,3046710,1128,3796753,2684,745245,411,227,0.99963,0.99912,0.196285,0.999375,2.09862625215,2.01985771842,1.58898633084,1.57647752909
