Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,464530,409849,54681,1138085,286204,432906,36245,50448,0.882287,0.59414,0.380381,0.710095,,,1.51126976327,2.12898826855
INDEL,PASS,464530,389380,75150,835787,93172,342602,31256,26653,0.838224,0.811081,0.409915,0.824429,,,1.51126976327,1.46101999352
SNP,ALL,3047837,3042709,5128,3752636,10259,699230,2507,3083,0.998317,0.99664,0.18633,0.997478,2.09862838533,2.03174716024,1.58898768101,1.57621156504
SNP,PASS,3047837,3041493,6344,3743447,9384,692132,2493,2307,0.997919,0.996925,0.184892,0.997421,2.09862838533,2.03585333949,1.58898768101,1.57280519805
