Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,464530,401665,62865,738253,23132,313817,19566,2360,0.86467,0.945499,0.425081,0.90328,,,1.51126976327,1.66180039012
INDEL,PASS,464530,401665,62865,738253,23132,313817,19566,2360,0.86467,0.945499,0.425081,0.90328,,,1.51126976327,1.66180039012
SNP,ALL,3047837,3044240,3597,3774965,3534,725413,1363,477,0.99882,0.998841,0.192164,0.99883,2.09862838533,2.02617444715,1.58898768101,1.54892117177
SNP,PASS,3047837,3044240,3597,3774965,3534,725413,1363,477,0.99882,0.998841,0.192164,0.99883,2.09862838533,2.02617444715,1.58898768101,1.54892117177
