Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,464530,445867,18663,890826,14820,412431,9583,3770,0.959824,0.969021,0.462976,0.964401,,,1.51126976327,1.92980412844
INDEL,PASS,464530,445867,18663,890826,14820,412431,9583,3770,0.959824,0.969021,0.462976,0.964401,,,1.51126976327,1.92980412844
SNP,ALL,3047837,3046577,1260,3796217,2617,743904,631,256,0.999587,0.999143,0.195959,0.999365,2.09862838533,2.01718436404,1.58898768101,1.58235662418
SNP,PASS,3047837,3046577,1260,3796217,2617,743904,631,256,0.999587,0.999143,0.195959,0.999365,2.09862838533,2.01718436404,1.58898768101,1.58235662418
