Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,464530,395366,69164,1778293,853106,516283,52419,76131,0.85111,0.32401,0.290325,0.469345,,,1.51126976327,5.96573459716
INDEL,PASS,464530,377434,87096,851821,103582,359199,47430,17466,0.812507,0.789733,0.421684,0.800958,,,1.51126976327,2.43247198888
SNP,ALL,3047837,3035600,12237,3777376,18357,722798,10060,3311,0.995985,0.99399,0.191349,0.994987,2.09862838533,2.02635052656,1.58898768101,1.64419821333
SNP,PASS,3047837,3034399,13438,3759810,16248,708549,10002,1530,0.995591,0.994675,0.188453,0.995133,2.09862838533,2.03276824495,1.58898768101,1.6321055197
